feature,importance
MonthlyIncome,0.07676085216976997
Age,0.061697925688031036
TotalWorkingYears,0.05619205610748482
DailyRate,0.05383522071214829
HourlyRate,0.04570322618261663
MonthlyRate,0.044012591523443695
DistanceFromHome,0.042017371532627995
YearsAtCompany,0.03754263453203027
YearsWithCurrManager,0.03579942308570967
NumCompaniesWorked,0.03464397438345
PercentSalaryHike,0.03211876072965082
EnvironmentSatisfaction,0.028492078439391198
OverTime_No,0.026554493976707408
WorkLifeBalance,0.026083310027327937
OverTime_Yes,0.025580875782653063
YearsInCurrentRole,0.024424885721300985
JobSatisfaction,0.02412523961290211
JobInvolvement,0.023708626616459255
StockOptionLevel,0.023545215198691113
TrainingTimesLastYear,0.02323116041374023
RelationshipSatisfaction,0.023145581507153
YearsSinceLastPromotion,0.021475427802718213
JobLevel,0.019539806011012434
Education,0.018990797402366994
MaritalStatus_Single,0.014709329866149912
BusinessTravel_Travel_Frequently,0.013557069783742479
JobRole_Laboratory Technician,0.01100305798708738
Department_Sales,0.009618663830366777
MaritalStatus_Married,0.009026851374263399
JobRole_Research Scientist,0.008526283229041351
Gender_Male,0.007631697275804117
Department_Research & Development,0.007511364076500616
EducationField_Medical,0.007258258894128808
JobRole_Sales Executive,0.007166884924654825
BusinessTravel_Travel_Rarely,0.007079573505481373
EducationField_Life Sciences,0.00696669240965587
MaritalStatus_Divorced,0.00679803389765688
EducationField_Marketing,0.00678232293464888
JobRole_Sales Representative,0.00653385862041469
EducationField_Technical Degree,0.006463820805823311
Gender_Female,0.006351795305381137
PerformanceRating,0.005726050417391496
BusinessTravel_Non-Travel,0.00436745165725204
EducationField_Human Resources,0.003188363116070587
JobRole_Healthcare Representative,0.002460953734285038
JobRole_Human Resources,0.002451453456624721
EducationField_Other,0.0024317336744035744
JobRole_Manufacturing Director,0.002391886126187745
Department_Human Resources,0.002289176481557456
JobRole_Manager,0.0018485011583910089
JobRole_Research Director,0.0006373362976473452
