feature,VIF
JobLevel,11.205067060779474
MonthlyIncome,10.800070439778152
TotalWorkingYears,4.767796312856025
YearsAtCompany,4.587391058192637
YearsWithCurrManager,2.7745870824357297
YearsInCurrentRole,2.7186035197467806
PercentSalaryHike,2.516384796769057
PerformanceRating,2.5137340989827597
Age,2.044890360341928
YearsSinceLastPromotion,1.6742777206538586
NumCompaniesWorked,1.2577371851183325
Education,1.05935185665069
HourlyRate,1.0183184311677236
DailyRate,1.018198320642176
StockOptionLevel,1.0176823168007596
JobInvolvement,1.0163161211902632
RelationshipSatisfaction,1.015771124634024
DistanceFromHome,1.015515408661384
WorkLifeBalance,1.014884224204683
JobSatisfaction,1.0145106684576282
MonthlyRate,1.0122820766028304
EnvironmentSatisfaction,1.0100994777531962
TrainingTimesLastYear,1.009916611474666
